Interval,Actual,Expected,Expected Normalized Square of Difference
4.57704,62,51.599372933171516,2.096402286193374
9.15408,62,58.66336715845579,0.18977974259813077
13.73112,50,41.801344152963296,1.6080334032364856
18.30816,33,29.81121811717431,0.3410907214951863
22.8852,31,21.864073871517554,3.8174562853914766
27.46224,12,16.482434198170747,1.2190078297512936
32.039280000000005,15,12.72375864816514,0.40721258828264334
36.61632,11,10.02145648576679,0.09554972479378236
41.19336,9,8.028814857290145,0.11747693752882309
45.770399999999995,3,6.527029328925849,1.9059108302107723
50.34743999999999,3,5.373633141035061,1.0484776575452508
54.92447999999999,1,4.47316203479311,2.6967175403218184
59.501519999999985,4,3.7599849552519715,0.015321130906370243
64.07855999999998,1,3.187942420433354,1.5016243720239555
68.65559999999998,0,2.7239073858879803,2.7239073858879803
73.23263999999998,0,2.3436743726499176,2.3436743726499176
77.80967999999997,1,2.029269997971217,0.5220580453970204
82.38671999999997,0,1.767154079308464,1.767154079308464
86.96375999999997,0,1.546992103293221,1.546992103293221
91.54079999999996,1,1.3608022618226912,0.0956628863638174
96.11783999999996,0,1.2023529157614954,1.2023529157614954
100.69487999999996,0,1.0667305191985887,1.0667305191985887
105.27191999999995,0,0.9500254916919526,0.9500254916919526
109.84895999999995,0,0.8491009406064398,0.8491009406064398
114.42599999999995,0,0.761420391128198,0.761420391128198
119.00303999999994,1,0.684918083198216,0.14494669761369927


Sum,31.03408687918016
