Interval,P(X),Actual,Expected,Expected Normalized Square of Difference
2.05672,17.201132206962562%,61,51.60339662088768,1.7110531640586844
4.11344,19.55509640830359%,49,58.66528922491077,1.5923865208101402
6.170159999999999,13.933897821642027%,50,41.80169346492608,1.6078829461641422
8.22688,9.936998124995789%,31,29.810994374987366,0.047423254606289274
10.2836,7.287884199632244%,23,21.86365259889673,0.059060827560867515
12.34032,5.493987479991336%,12,16.48196243997401,1.2187861358437513
14.39704,4.241098546292932%,11,12.723295638878795,0.23341026910543253
16.45376,3.340341747704567%,13,10.021025243113701,0.8855671337884375
18.510479999999998,2.676140923236381%,12,8.028422769709142,1.9646979423750817
20.567199999999996,2.1755589835543265%,6,6.52667695066298,0.0425007415651969
22.623919999999995,1.7911060446562987%,8,5.373318133968896,1.2840218005555712
24.680639999999993,1.490960328270441%,8,4.472880984811322,2.7813323425215892
26.737359999999992,1.2532447378025724%,1,3.759734213407717,2.025710461524902
28.79407999999999,1.0625728273042423%,1,3.187718481912727,1.5014224697880836
30.85079999999999,0.9079023486419979%,4,2.7237070459259938,0.5980539305999992
32.90751999999999,0.7811649248840147%,3,2.343494774652044,0.18391298140323956
34.96423999999999,0.676369543566302%,2,2.029108630698906,0.0004175786196687946
37.02095999999999,0.589002917179493%,2,1.7670087515384791,0.030721365591649712
39.07767999999999,0.5156203033807483%,0,1.5468609101422448,1.5468609101422448
41.134399999999985,0.4535611832336528%,0,1.3606835497009584,1.3606835497009584
43.191119999999984,0.4007484164014308%,1,1.2022452492042923,0.034022293581761384
45.24783999999998,0.3555442169743239%,1,1.0666326509229718,0.004162548526130994
47.30455999999998,0.3166454454195833%,0,0.9499363362587498,0.9499363362587498
49.36127999999998,0.2830065172011009%,0,0.8490195516033028,0.8490195516033028
51.41799999999998,0.2537819805254027%,0,0.761345941576208,0.761345941576208
53.47471999999998,0.22828328293745814%,1,0.6848498488123744,0.1450239318382232


Sum,23.419416929710305
